pair_idx,region_code,region_name,g1_abs,g1_norm,g2_abs,g2_norm,norm_delta_xyxy,max_delta,status
2,E_right_player,Right Player Area,"[998, 106, 1267, 343]","[0.7797, 0.1791, 0.9898, 0.5794]","[748, 80, 950, 259]","[0.7792, 0.1786, 0.9896, 0.5781]","[0.0005, 0.0005, 0.0002, 0.0013]",0.0013,PASS
2,F_action_buttons,Action Button Region,"[256, 307, 1024, 426]","[0.2, 0.5186, 0.8, 0.7196]","[192, 232, 768, 322]","[0.2, 0.5179, 0.8, 0.7188]","[0.0, 0.0007, 0.0, 0.0008]",0.0008,PASS
3,A_bottom_hand,Bottom Hand Region,"[64, 384, 1216, 580]","[0.05, 0.6486, 0.95, 0.9797]","[52, 291, 912, 439]","[0.0542, 0.6496, 0.95, 0.9799]","[0.0042, 0.001, 0.0, 0.0002]",0.0042,PASS
3,B_center_play,Center Play Area,"[192, 165, 1088, 384]","[0.15, 0.2787, 0.85, 0.6486]","[217, 125, 770, 270]","[0.226, 0.279, 0.8021, 0.6027]","[0.076, 0.0003, 0.0479, 0.0459]",0.076,FAIL
3,C_top_landlord,Top Landlord Cards,"[448, 5, 832, 94]","[0.35, 0.0084, 0.65, 0.1588]","[437, 4, 616, 71]","[0.4552, 0.0089, 0.6417, 0.1585]","[0.1052, 0.0005, 0.0083, 0.0003]",0.1052,FAIL
3,D_left_player,Left Player Area,"[54, 106, 281, 343]","[0.0422, 0.1791, 0.2195, 0.5794]","[135, 101, 148, 133]","[0.1406, 0.2254, 0.1542, 0.2969]","[0.0984, 0.0463, 0.0653, 0.2825]",0.2825,FAIL
3,E_right_player,Right Player Area,"[998, 106, 1263, 343]","[0.7797, 0.1791, 0.9867, 0.5794]","[756, 106, 950, 193]","[0.7875, 0.2366, 0.9896, 0.4308]","[0.0078, 0.0575, 0.0029, 0.1486]",0.1486,FAIL
3,F_action_buttons,Action Button Region,"[256, 307, 1024, 426]","[0.2, 0.5186, 0.8, 0.7196]","[226, 242, 373, 309]","[0.2354, 0.5402, 0.3885, 0.6897]","[0.0354, 0.0216, 0.4115, 0.0299]",0.4115,FAIL
4,A_bottom_hand,Bottom Hand Region,"[64, 384, 1216, 580]","[0.05, 0.6486, 0.95, 0.9797]","[48, 291, 912, 439]","[0.05, 0.6496, 0.95, 0.9799]","[0.0, 0.001, 0.0, 0.0002]",0.001,PASS
4,B_center_play,Center Play Area,"[192, 165, 1088, 384]","[0.15, 0.2787, 0.85, 0.6486]","[144, 125, 816, 291]","[0.15, 0.279, 0.85, 0.6496]","[0.0, 0.0003, 0.0, 0.001]",0.001,PASS
4,C_top_landlord,Top Landlord Cards,"[448, 5, 832, 94]","[0.35, 0.0084, 0.65, 0.1588]","[336, 4, 624, 71]","[0.35, 0.0089, 0.65, 0.1585]","[0.0, 0.0005, 0.0, 0.0003]",0.0005,PASS
4,D_left_player,Left Player Area,"[40, 106, 281, 343]","[0.0312, 0.1791, 0.2195, 0.5794]","[37, 80, 211, 259]","[0.0385, 0.1786, 0.2198, 0.5781]","[0.0073, 0.0005, 0.0003, 0.0013]",0.0073,PASS
4,E_right_player,Right Player Area,"[998, 106, 1267, 343]","[0.7797, 0.1791, 0.9898, 0.5794]","[748, 80, 950, 259]","[0.7792, 0.1786, 0.9896, 0.5781]","[0.0005, 0.0005, 0.0002, 0.0013]",0.0013,PASS
4,F_action_buttons,Action Button Region,"[256, 307, 1024, 426]","[0.2, 0.5186, 0.8, 0.7196]","[192, 232, 768, 322]","[0.2, 0.5179, 0.8, 0.7188]","[0.0, 0.0007, 0.0, 0.0008]",0.0008,PASS
5,A_bottom_hand,Bottom Hand Region,"[64, 384, 1216, 580]","[0.05, 0.6486, 0.95, 0.9797]","[48, 291, 912, 439]","[0.05, 0.6496, 0.95, 0.9799]","[0.0, 0.001, 0.0, 0.0002]",0.001,PASS
5,B_center_play,Center Play Area,"[192, 165, 1088, 384]","[0.15, 0.2787, 0.85, 0.6486]","[144, 125, 816, 291]","[0.15, 0.279, 0.85, 0.6496]","[0.0, 0.0003, 0.0, 0.001]",0.001,PASS
5,C_top_landlord,Top Landlord Cards,"[448, 5, 832, 94]","[0.35, 0.0084, 0.65, 0.1588]","[336, 4, 624, 71]","[0.35, 0.0089, 0.65, 0.1585]","[0.0, 0.0005, 0.0, 0.0003]",0.0005,PASS
5,D_left_player,Left Player Area,"[55, 106, 281, 343]","[0.043, 0.1791, 0.2195, 0.5794]","[34, 80, 211, 259]","[0.0354, 0.1786, 0.2198, 0.5781]","[0.0076, 0.0005, 0.0003, 0.0013]",0.0076,PASS
5,E_right_player,Right Player Area,"[998, 106, 1267, 343]","[0.7797, 0.1791, 0.9898, 0.5794]","[748, 80, 950, 259]","[0.7792, 0.1786, 0.9896, 0.5781]","[0.0005, 0.0005, 0.0002, 0.0013]",0.0013,PASS
5,F_action_buttons,Action Button Region,"[256, 307, 1024, 426]","[0.2, 0.5186, 0.8, 0.7196]","[192, 232, 768, 322]","[0.2, 0.5179, 0.8, 0.7188]","[0.0, 0.0007, 0.0, 0.0008]",0.0008,PASS
